,CNT_ALL_flow,CNT_ALL_flowpot,CNT_ALL_precip,CNT_MAM_flow,CNT_MAM_flowpot,CNT_MAM_precip,CNT_JJA_flow,CNT_JJA_flowpot,CNT_JJA_precip,CNT_SON_flow,CNT_SON_flowpot,CNT_SON_precip,CNT_DJF_flow,CNT_DJF_flowpot,CNT_DJF_precip,TOTflow,TOTprecip,years
s1,65,49,16,55,11,2,19,13,0,49,26,10,18,1,1,333,258,1950-1952
s2,68,52,5,89,18,41,60,34,15,50,9,12,18,1,3,1282,778,1952-1954
s3,384,138,134,244,45,41,131,62,47,163,14,43,239,12,72,1196,637,1970-1972
s4,56,22,5,21,9,9,11,3,11,43,10,0,9,3,0,184,108,1975-1977
s5,86,28,23,69,3,45,51,9,10,33,9,1,26,2,22,310,226,1981-1983
s6,132,23,21,139,11,8,69,2,3,119,7,11,157,1,32,427,245,1984-1986
s7,40,10,9,35,0,7,38,7,0,33,3,0,35,0,5,81,60,1991-1993
s8,42,3,10,53,3,5,18,1,4,22,0,15,24,5,4,332,160,1993-1995
s9,104,34,21,90,15,25,68,9,7,33,0,4,32,0,3,216,123,1997-1999
s10,74,29,11,88,15,8,4,4,0,19,3,17,38,3,3,428,171,2002-2004
s11,18,3,3,2,1,0,7,0,0,18,0,4,2,0,0,52,18,2006-2008
s12,15,8,1,0,1,0,17,4,0,8,4,0,0,0,0,77,28,2006-2008
