,CNT_ALL_flow,CNT_ALL_flowpot,CNT_ALL_precip,CNT_MAM_flow,CNT_MAM_flowpot,CNT_MAM_precip,CNT_JJA_flow,CNT_JJA_flowpot,CNT_JJA_precip,CNT_SON_flow,CNT_SON_flowpot,CNT_SON_precip,CNT_DJF_flow,CNT_DJF_flowpot,CNT_DJF_precip,TOTflow,TOTprecip,year
s1,80,67,20,19,20,4,70,37,14,28,10,13,84,16,12,333,258,1951
s2,107,94,47,73,55,56,101,51,26,58,10,51,130,29,98,1282,778,1953
s3,463,200,202,135,91,131,265,27,91,491,13,197,359,57,68,1196,637,1971
s4,49,27,36,22,5,25,51,14,9,22,3,21,28,18,39,184,108,1976
s5,92,32,28,59,18,26,52,13,10,47,4,23,89,4,22,310,226,1982
s6,116,46,29,70,7,25,96,11,20,179,4,19,150,30,39,427,245,1985
s7,49,15,5,39,15,7,47,4,3,38,0,1,42,0,6,81,60,1992
s8,43,20,32,26,5,21,34,0,11,37,4,8,53,22,33,332,160,1994
s9,108,38,10,70,14,22,47,0,6,34,0,11,95,14,20,216,123,1998
s10,66,26,30,7,11,27,31,5,14,24,5,14,107,24,35,428,171,2003
s11,35,14,0,11,1,1,25,0,0,10,0,1,30,1,0,52,18,2007
s12,29,15,7,17,4,3,10,11,4,0,0,0,1,1,6,77,28,2007
